case,fold,filename,iou,call_seconds,error
A100S,2,A100S.png,0.0754473039655804,1.8,
A105H,3,A105H.png,0.6689173441064504,1.71,
A108P_p4,1,A108P_p4.png,0.03584246274347992,1.66,
A108P_p5,1,A108P_p5.png,0.7472939032410121,1.57,
A108P_p6,1,A108P_p6.png,0.029221944852669792,1.58,
A4Ba1,4,A4Ba1.png,0.0,1.5,
A4D-04,0,A4D-04.png,0.341228914133401,1.51,
A4D-08,1,A4D-08.png,0.045528186306850696,1.54,
A4D-11,2,A4D-11.png,0.9790095051713157,1.46,
A4D-16,3,A4D-16.png,0.8784970948742439,1.54,
A4D-21,4,A4D-21.png,0.00862368287361069,1.44,
A4D-24,0,A4D-24.png,0.0,1.47,
A4D03,1,A4D03.png,0.20524582056279375,1.45,
A4D10,2,A4D10.png,0.29433784630951465,1.5,
A4D10A1,3,A4D10A1.png,0.9826774052283849,1.51,
A4D11,4,A4D11.png,0.8571064709771121,1.58,
A4D12,0,A4D12.png,0.9651227687933617,1.52,
A4D13,1,A4D13.png,0.04435248218008614,1.52,
A4D14,2,A4D14.png,0.05506603855838051,1.49,
A4D14A1,3,A4D14A1.png,0.8587801207549907,1.46,
A4D15,4,A4D15.png,0.4468475791800569,1.45,
A4D16,0,A4D16.png,0.9241830986759028,1.56,
A4D4A1,1,A4D4A1.png,0.6463132860065626,1.45,
A4D5,2,A4D5.png,0.8895167524055761,1.58,
A4D5A_merged,3,A4D5A_merged.png,0.09777699290349949,1.48,
A4D6,4,A4D6.png,0.6341465586059335,1.64,
A4D6A_merged_p10,3,A4D6A_merged_p10.png,0.0,1.67,
A4D6A_merged_p9,3,A4D6A_merged_p9.png,0.0,1.59,
A4D7,0,A4D7.png,0.8081335815027071,1.53,
A4D8,1,A4D8.png,0.8430895699735077,1.53,
A4D8A_merged,2,A4D8A_merged.png,0.5332250780199427,1.55,
A4D9,3,A4D9.png,0.32245862580722795,1.5,
A4DA01,4,A4DA01.png,0.5769594486896001,1.86,
A4DA02,0,A4DA02.png,0.9832366736330213,1.48,
A4DA03,1,A4DA03.png,0.8963013168086754,1.52,
A4DA04,2,A4DA04.png,0.031402633275020714,1.53,
A4DA05,3,A4DA05.png,0.9626381284489908,1.55,
A4DA06,4,A4DA06.png,0.612705050795552,1.53,
A4Da1,0,A4Da1.png,0.9829840022405903,1.67,
A4Da2,1,A4Da2.png,0.21522800457047886,1.61,
A4Da3,2,A4Da3.png,0.22132681028596016,1.61,
A4EC3a1,3,A4EC3a1.png,0.14306615699025582,1.67,
A4FNa1,4,A4FNa1.png,0.945674494396763,1.7,
A4Ha1,0,A4Ha1.png,0.36277655284665605,1.72,
A4KTRa1,1,A4KTRa1.png,0.939417097080215,1.6,
A4RFa1,2,A4RFa1.png,0.929973858007705,1.53,
A4Sa1,3,A4Sa1.png,0.011119829548456953,1.53,
A4_002:CA,4,A4_002_CA.png,0.22406004454948797,1.57,
A4_088:LL:016,0,A4_088_LL_016.png,0.9281508915956911,1.56,
A4_093:LL:012,1,A4_093_LL_012.png,0.8625199885194145,1.53,
A4_094:LL:013,2,A4_094_LL_013.png,0.9279284600481973,1.5,
A4_097:LL:030,3,A4_097_LL_030.png,0.924042212753717,1.48,
A4_101:LL:069,4,A4_101_LL_069.png,0.9328524395462365,1.51,
A4_102:LL:077,0,A4_102_LL_077.png,0.9759765952687209,1.72,
A4_112:LL:048,1,A4_112_LL_048.png,0.8129219959378602,1.66,
A4aSHP1,2,A4aSHP1.png,0.0,1.52,
ART4:15:00001,3,ART4_15_00001.png,0.964425236356785,1.47,
ART4:22:00001,4,ART4_22_00001.png,0.8392996820122535,1.45,
ART4:66:00001,0,ART4_66_00001.png,0.9369102013119204,1.45,
ART4:82:00001,1,ART4_82_00001.png,0.8580598530460297,1.56,
ARTICLE:200,2,ARTICLE_200.png,0.000604515563922553,1.5,
ARTICLE:210,3,ARTICLE_210.png,0.9437212615763227,1.45,
ARTICLE:230,4,ARTICLE_230.png,0.0,1.44,
ARTICLE:260,0,ARTICLE_260.png,0.07657659022133906,1.51,
ARTICLE:270,1,ARTICLE_270.png,0.9532150610075605,1.45,
Ar4.10,2,Ar4.10.png,0.11909824526801373,1.44,
Ar4.11,3,Ar4.11.png,0.33573906322931213,1.47,
Ar4.14,4,Ar4.14.png,0.0,1.46,
Ar4.15,0,Ar4.15.png,0.49876923596193673,1.46,
Ar4.16,1,Ar4.16.png,0.4951649292925981,1.45,
Ar4.17,2,Ar4.17.png,0.5772106059986087,1.47,
Ar4.18,3,Ar4.18.png,0.0006019991874597961,1.6,
Ar4.19,4,Ar4.19.png,0.9054947843403335,1.67,
Ar4.1_7a_merged,0,Ar4.1_7a_merged.png,0.6377358490566037,1.53,
Ar4.2,1,Ar4.2.png,0.9693532288651562,1.47,
Ar4.20,2,Ar4.20.png,0.9920653245836831,1.46,
Ar4.21,3,Ar4.21.png,0.7018854789857467,1.48,
Ar4.22,4,Ar4.22.png,0.9553466107889387,1.48,
Ar4.23,0,Ar4.23.png,0.7602247855429242,1.47,
Ar4.24,1,Ar4.24.png,0.9607843137254902,1.48,
Ar4.25,2,Ar4.25.png,0.9563872681705784,1.53,
Ar4.26,3,Ar4.26.png,0.8958026782988484,1.51,
Ar4.27,4,Ar4.27.png,0.8928265412600425,1.47,
Ar4.28,0,Ar4.28.png,0.9289315335826964,1.47,
Ar4.29,1,Ar4.29.png,0.8921111471294749,1.48,
Ar4.3,2,Ar4.3.png,0.0075726760697573,1.45,
Ar4.30,3,Ar4.30.png,0.9674051486105817,1.49,
Ar4.4,4,Ar4.4.png,0.5973807346811906,1.55,
Ar4.5,0,Ar4.5.png,0.0,1.65,
Ar4.6,1,Ar4.6.png,0.0,1.41,
Ar4.8,2,Ar4.8.png,0.05618557055518496,1.47,
Ar4.9,3,Ar4.9.png,0.9389401275843517,1.51,
Art4D04,4,Art4D04.png,0.8605535643744215,1.64,
Art4D05,0,Art4D05.png,0.9778737540390062,1.58,
Art4D11,1,Art4D11.png,0.9593206922606412,1.49,
B4BE31D4-36A8-452E-97FF-04A53362B26C,2,B4BE31D4-36A8-452E-97FF-04A53362B26C.png,0.9871428455765073,1.5,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,3,B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE.png,0.9842613547682223,1.71,
B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D,0,B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D.png,0.9495972084607763,1.63,
C69CB574-81DC-4130-B7D7-EB68C744D477,4,C69CB574-81DC-4130-B7D7-EB68C744D477.png,0.9720272326227554,1.69,
C97065B6-03D0-48C4-AE0E-508DB0BE644B,0,C97065B6-03D0-48C4-AE0E-508DB0BE644B.png,0.9791866322976212,1.65,
CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6,1,CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6.png,0.6604753879348623,1.55,
CB:11:04552:ART4,2,CB_11_04552_ART4.png,0.441238151539844,1.62,
CB:75:00001:ART4,3,CB_75_00001_ART4.png,0.6093205290756583,1.7,
CB:82:00001:ART4,4,CB_82_00001_ART4.png,0.32684131685726614,1.78,
CPA4(1a),0,CPA4_1a_.png,0.0,1.65,
CPA4(2a),1,CPA4_2a_.png,0.4203756414355642,1.51,
CPA4(3a),2,CPA4_3a_.png,0.9673513214590198,1.51,
CPA4(4a),3,CPA4_4a_.png,0.9623453427748814,1.51,
D9176429-F30F-4638-A67E-3B87E7ED603D,4,D9176429-F30F-4638-A67E-3B87E7ED603D.png,0.9866271419489333,1.54,
D93BF228-6271-4271-A085-9DAB7155FC66,0,D93BF228-6271-4271-A085-9DAB7155FC66.png,0.9522310971700354,2.3,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,0,DE5A30DA-29A4-45BE-B60A-C201A5F11C6F.png,0.9265367316341829,1.67,
DEEADDA2-0FC2-422B-B738-F5D274549610,1,DEEADDA2-0FC2-422B-B738-F5D274549610.png,0.9446432756761824,1.64,
E6369A1B-AA37-4B67-AF76-3BC17E3A5885,2,E6369A1B-AA37-4B67-AF76-3BC17E3A5885.png,0.8198628981140773,1.77,
ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047,3,ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047.png,0.9666772434541437,1.66,
F9A7310C-0DDD-469E-B34D-C270A186070F,4,F9A7310C-0DDD-469E-B34D-C270A186070F.png,0.6598995315712499,1.88,
FA067403-6115-4489-9ED0-2CF26FC2D299,0,FA067403-6115-4489-9ED0-2CF26FC2D299.png,0.9826405402834586,1.9,
FDBC0FDC-D090-4778-A123-232EB71DF3C6,0,FDBC0FDC-D090-4778-A123-232EB71DF3C6.png,0.9815142173453769,1.81,
POLA4_AREA,1,POLA4_AREA.png,0.9699569599789981,1.77,
REG_4:36880,2,REG_4_36880.png,0.29906982955888234,1.49,
SSA401,3,SSA401.png,0.9632412288131371,1.58,
SSA402,4,SSA402.png,0.5574470764479361,1.68,
SSA403,0,SSA403.png,0.9461331579764007,1.58,
SSA404,1,SSA404.png,0.9465956628640013,1.49,
SSA405,2,SSA405.png,0.90409088528613,1.49,
SSA407,3,SSA407.png,0.7137949350253904,1.51,
SSA408,4,SSA408.png,0.9313620312011086,1.51,
SSA409,0,SSA409.png,0.9653453899564024,1.61,
SSA410,1,SSA410.png,0.8006235046762851,1.72,
SSA412,2,SSA412.png,0.8978769412227245,1.54,
SSA414,3,SSA414.png,0.8801747279449824,1.62,
SSA415,4,SSA415.png,0.9569799523671099,1.61,
SSA416,0,SSA416.png,0.9748333505889474,1.5,
