case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
7202D619-4C27-4DA4-857E-B89F78C9D8D5,good_x_easy,0.000000,0.000000,0.000000,0.000000,383.61,True,,,1,False,True,,103.55,3647,11078,,
79,good_x_medium,0.833066,0.877071,0.943194,0.908932,96.55,True,,,1,False,True,,34.68,3680,3107,,
85,good_x_hard,0.151108,0.252439,0.273489,0.262543,147.85,True,,,15,True,True,,76.50,10596,7747,,
8609F3A9-3398-4F70-809B-B7ADF17E541F,good_x_medium,0.000000,0.000000,0.000000,0.000000,836.97,True,,,1,False,True,,32.01,4212,3483,,
862ACE10-49B0-4423-B47D-F771D78D285D,good_x_medium,0.000767,0.000919,0.004608,0.001533,989.06,True,,,1,False,True,,115.00,4740,12112,,
8CAFB06E-C92F-41CC-B701-6A38171FFAC2,good_x_easy,0.000000,0.000000,0.000000,0.000000,859.56,True,,,1,False,True,,70.83,3107,10660,,
983981FC-89B6-466B-A76B-2FC9F050B5CF,good_x_medium,0.458326,0.585455,0.678527,0.628564,99.86,True,,,1,False,True,,63.01,5276,7609,,
A002S,good_x_easy,0.000000,0.000000,0.000000,0.000000,190.87,True,,,1,False,True,,19.04,2616,2245,,
A003S,good_x_easy,0.000000,0.000000,0.000000,0.000000,113.66,True,,,1,False,True,,30.11,2616,2503,,
A005S,good_x_easy,0.000000,0.000000,0.000000,0.000000,245.53,True,,,1,False,True,,51.19,2616,5732,,
A008S,good_x_easy,0.000000,0.000000,0.000000,0.000000,393.22,True,,,1,False,True,,23.81,2616,1977,,
A014S,good_x_easy,0.000000,0.000000,0.000000,0.000000,273.75,True,,,1,False,True,,22.03,2616,1870,,
A016S,good_x_easy,0.000000,0.000000,0.000000,0.000000,1652.68,True,,,1,False,True,,40.03,2616,4219,,
A018S,good_x_easy,0.000000,0.000000,0.000000,0.000000,208.22,True,,,1,False,True,,52.65,2011,4312,,
A030S,good_x_easy,0.000000,0.000000,0.000000,0.000000,89.41,True,,,1,False,True,,29.05,2013,1974,,
A084S,good_x_easy,0.000000,0.000000,0.000000,0.000000,429.24,True,,,1,False,True,,26.65,3148,3323,,
A097S,good_x_easy,0.000000,0.000000,0.000000,0.000000,118.01,True,,,1,False,True,,30.37,2616,3118,,
A100S,good_x_easy,0.000000,0.000000,0.000000,0.000000,479.28,True,,,1,False,True,,41.59,2011,3888,,
A105H,good_x_easy,0.000000,0.000000,0.000000,0.000000,167.57,True,,,1,False,True,,30.23,2011,2939,,
A108P,good_x_hard,0.268890,0.302821,0.705855,0.423819,947.16,True,,,3,True,True,,51.45,4141,4311,,
A4Ba1,good_x_hard,0.303706,0.311297,0.925675,0.465912,188.88,True,,,1,False,True,,40.56,2084,5792,,
A4D-08,bad_x_medium,0.000000,0.000000,0.000000,0.000000,624.85,True,,,1,False,True,,77.23,2011,7750,,
A4D-11,bad_x_easy,0.241604,0.241604,1.000000,0.389180,30.09,True,,,1,False,True,,60.53,3609,5889,,
A4D-16,bad_x_medium,0.089865,0.103279,0.408964,0.164911,561.33,True,,,1,False,True,,123.00,3077,13327,,
A4D03,good_x_medium,0.654294,0.691244,0.924472,0.791025,65.50,True,,,1,False,True,,50.97,1479,4673,,
A4D10,good_x_medium,0.000000,0.000000,0.000000,0.000000,762.69,True,,,1,False,True,,36.01,2011,3915,,
A4D10A1,good_x_easy,0.000000,0.000000,0.000000,0.000000,443.73,True,,,1,False,True,,45.54,4139,4657,,
A4D11,good_x_medium,0.365743,0.365743,1.000000,0.535596,89.32,True,,,1,False,True,,80.76,2543,7177,,
A4D12,good_x_medium,0.364375,0.365925,0.988507,0.534127,586.80,True,,,1,False,True,,54.83,3148,6283,,
A4D13,good_x_medium,0.551046,0.571502,0.939007,0.710547,284.16,True,,,1,False,True,,35.03,3148,3548,,
A4D14,good_x_medium,0.000703,0.000802,0.005698,0.001406,364.72,True,,,1,False,True,,26.05,3148,2929,,
A4D14A1,good_x_medium,0.798362,0.982608,0.809805,0.887877,540.28,True,,,1,False,True,,39.70,2011,5080,,
A4D15,good_x_medium,0.702016,0.757115,0.906071,0.824923,179.98,True,,,1,False,True,,42.41,3148,4549,,
A4D16,good_x_easy,0.000000,0.000000,0.000000,0.000000,482.43,True,,,3,True,True,,59.17,2616,5897,,
A4D4A1,good_x_medium,0.499963,0.676176,0.657357,0.666634,317.96,True,,,1,False,True,,85.01,12653,8675,,
A4D5,good_x_medium,0.478848,0.478930,0.999643,0.647596,155.29,True,,,1,False,True,,105.43,2011,11439,,
A4D5A_merged,bad_x_hard,0.064398,0.082398,0.227670,0.121003,24.04,True,,,2,True,True,,46.97,6340,4844,,
A4D6,good_x_medium,0.325558,0.329950,0.960720,0.491202,106.57,True,,,1,False,True,,63.02,2616,6620,,
A4D6A_merged,bad_x_hard,0.058243,0.105577,0.114973,0.110075,503.71,True,,,8,True,True,,107.82,7936,11793,,
