case,fold,filename,iou,call_seconds,error
A100S,2,A100S.png,0.003829942390432436,1.52,
A105H,3,A105H.png,0.04345160541781675,1.55,
A108P_p4,1,A108P_p4.png,0.22127635528311085,1.66,
A108P_p5,1,A108P_p5.png,0.35225914307316514,1.64,
A108P_p6,1,A108P_p6.png,0.09751657115232752,1.67,
A4Ba1,4,A4Ba1.png,0.17712960483414317,1.58,
A4D-04,0,A4D-04.png,0.292827212333181,1.48,
A4D-08,1,A4D-08.png,0.025505359083062184,1.59,
A4D-11,2,A4D-11.png,0.2110198140508021,1.47,
A4D-16,3,A4D-16.png,0.0007837685335929948,1.53,
A4D-21,4,A4D-21.png,0.13106285133668952,1.46,
A4D-24,0,A4D-24.png,0.0018727550273837732,1.46,
A4D03,1,A4D03.png,0.11980459005988267,1.49,
A4D10,2,A4D10.png,0.18830662631642925,1.47,
A4D10A1,3,A4D10A1.png,0.07356407488595196,1.56,
A4D11,4,A4D11.png,0.35861913767899795,1.52,
A4D12,0,A4D12.png,0.2274252539209525,1.48,
A4D13,1,A4D13.png,0.3696841868829154,1.47,
A4D14,2,A4D14.png,0.03296189739406168,1.56,
A4D14A1,3,A4D14A1.png,0.31423356792560986,1.49,
A4D15,4,A4D15.png,0.22951187572442577,1.51,
A4D16,0,A4D16.png,0.9778160107225539,1.6,
A4D4A1,1,A4D4A1.png,0.05762328327106179,1.46,
A4D5,2,A4D5.png,0.9562134287433419,1.57,
A4D5A_merged,3,A4D5A_merged.png,0.03508061691060921,1.53,
A4D6,4,A4D6.png,0.9473332074709274,1.51,
A4D6A_merged_p10,3,A4D6A_merged_p10.png,0.028981807313606812,1.5,
A4D6A_merged_p9,3,A4D6A_merged_p9.png,0.15477206282182357,1.51,
A4D7,0,A4D7.png,0.9462271261939946,1.51,
A4D8,1,A4D8.png,0.9281395987908766,1.48,
A4D8A_merged,2,A4D8A_merged.png,0.024016615096773667,1.47,
A4D9,3,A4D9.png,0.0,1.47,
A4DA01,4,A4DA01.png,0.9739219288395805,1.74,
A4DA02,0,A4DA02.png,0.4730430833754138,1.5,
A4DA03,1,A4DA03.png,0.04230225194630451,1.53,
A4DA04,2,A4DA04.png,0.35946323828321475,1.46,
A4DA05,3,A4DA05.png,0.09358933788099996,1.45,
A4DA06,4,A4DA06.png,0.8187932501747428,1.5,
A4Da1,0,A4Da1.png,0.9796094044224458,1.56,
A4Da2,1,A4Da2.png,0.0023116672342823026,1.47,
A4Da3,2,A4Da3.png,0.16730862574823455,1.49,
A4EC3a1,3,A4EC3a1.png,0.10555540673445256,1.5,
A4FNa1,4,A4FNa1.png,0.9485253889612971,1.49,
A4Ha1,0,A4Ha1.png,0.05430025131338845,1.5,
A4KTRa1,1,A4KTRa1.png,0.17932217284919263,1.47,
A4RFa1,2,A4RFa1.png,0.8974664110671281,1.54,
A4Sa1,3,A4Sa1.png,0.4492704867691549,1.68,
A4_002:CA,4,A4_002_CA.png,0.0916694838900652,1.64,
A4_088:LL:016,0,A4_088_LL_016.png,0.056246006273142655,1.51,
A4_093:LL:012,1,A4_093_LL_012.png,0.005651659948476716,1.51,
A4_094:LL:013,2,A4_094_LL_013.png,0.02113281121803649,1.51,
A4_097:LL:030,3,A4_097_LL_030.png,0.014147934794747952,1.48,
A4_101:LL:069,4,A4_101_LL_069.png,0.05814567730484004,1.56,
A4_102:LL:077,0,A4_102_LL_077.png,0.07545572777803126,1.59,
A4_112:LL:048,1,A4_112_LL_048.png,0.0607132687927107,1.5,
A4aSHP1,2,A4aSHP1.png,0.05436193339750592,1.52,
ART4:15:00001,3,ART4_15_00001.png,0.2189771820983066,1.46,
ART4:22:00001,4,ART4_22_00001.png,0.8161179234601926,1.53,
ART4:66:00001,0,ART4_66_00001.png,0.05512371563345495,1.48,
ART4:82:00001,1,ART4_82_00001.png,0.1740784302786664,1.63,
ARTICLE:200,2,ARTICLE_200.png,0.00030750356581773336,1.42,
ARTICLE:210,3,ARTICLE_210.png,0.003930477685222566,1.44,
ARTICLE:230,4,ARTICLE_230.png,0.11586557269612142,1.5,
ARTICLE:260,0,ARTICLE_260.png,0.8192337552357744,1.54,
ARTICLE:270,1,ARTICLE_270.png,0.07299567182668303,1.5,
Ar4.10,2,Ar4.10.png,0.058143431493950744,1.53,
Ar4.11,3,Ar4.11.png,0.13164403437725414,1.64,
Ar4.14,4,Ar4.14.png,0.04567459950965847,1.63,
Ar4.15,0,Ar4.15.png,0.027287134850840663,1.58,
Ar4.16,1,Ar4.16.png,0.08032234879471783,1.48,
Ar4.17,2,Ar4.17.png,0.1353489340510001,1.51,
Ar4.18,3,Ar4.18.png,0.2094976558045714,1.54,
Ar4.19,4,Ar4.19.png,0.13806054306988857,1.75,
Ar4.1_7a_merged,0,Ar4.1_7a_merged.png,0.0,1.58,
Ar4.2,1,Ar4.2.png,0.10555718534682142,1.48,
Ar4.20,2,Ar4.20.png,0.13973543822337564,1.46,
Ar4.21,3,Ar4.21.png,0.8242165162040292,1.48,
Ar4.22,4,Ar4.22.png,0.9600673725469263,1.51,
Ar4.23,0,Ar4.23.png,0.9461982427977992,1.47,
Ar4.24,1,Ar4.24.png,0.9494785702601014,1.46,
Ar4.25,2,Ar4.25.png,0.9652036468945132,1.45,
Ar4.26,3,Ar4.26.png,0.09040069212409853,1.49,
Ar4.27,4,Ar4.27.png,0.901820418204182,1.49,
Ar4.28,0,Ar4.28.png,0.23721732678468246,1.54,
Ar4.29,1,Ar4.29.png,0.1238476466338743,1.49,
Ar4.3,2,Ar4.3.png,0.25716428094866584,1.46,
Ar4.30,3,Ar4.30.png,0.031566267596843736,1.47,
Ar4.4,4,Ar4.4.png,0.5920237575321495,1.55,
Ar4.5,0,Ar4.5.png,0.04697875630331566,1.57,
Ar4.6,1,Ar4.6.png,0.24060700301725882,1.4,
Ar4.8,2,Ar4.8.png,0.00259012895862945,1.47,
Ar4.9,3,Ar4.9.png,0.1433733967197802,1.5,
Art4D04,4,Art4D04.png,0.19430215122861777,1.55,
Art4D05,0,Art4D05.png,0.2304226795590544,1.52,
Art4D11,1,Art4D11.png,0.8320257531039464,1.5,
B4BE31D4-36A8-452E-97FF-04A53362B26C,2,B4BE31D4-36A8-452E-97FF-04A53362B26C.png,0.09771558944914692,1.78,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,3,B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE.png,0.0,1.96,
B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D,0,B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D.png,0.0,1.79,
C69CB574-81DC-4130-B7D7-EB68C744D477,4,C69CB574-81DC-4130-B7D7-EB68C744D477.png,0.0,1.71,
C97065B6-03D0-48C4-AE0E-508DB0BE644B,0,C97065B6-03D0-48C4-AE0E-508DB0BE644B.png,0.2062987059948679,1.72,
CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6,1,CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6.png,0.19003046611818705,1.51,
CB:11:04552:ART4,2,CB_11_04552_ART4.png,0.302132411271927,1.54,
CB:75:00001:ART4,3,CB_75_00001_ART4.png,0.24385176087984378,1.55,
CB:82:00001:ART4,4,CB_82_00001_ART4.png,0.036471509590928125,1.52,
CPA4(1a),0,CPA4_1a_.png,0.08785901604712296,1.48,
CPA4(2a),1,CPA4_2a_.png,0.19720847149371512,1.52,
CPA4(3a),2,CPA4_3a_.png,0.4374905519014855,1.53,
CPA4(4a),3,CPA4_4a_.png,0.05135476787022483,1.51,
D9176429-F30F-4638-A67E-3B87E7ED603D,4,D9176429-F30F-4638-A67E-3B87E7ED603D.png,0.10864594095007611,1.52,
D93BF228-6271-4271-A085-9DAB7155FC66,0,D93BF228-6271-4271-A085-9DAB7155FC66.png,0.0,2.41,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,0,DE5A30DA-29A4-45BE-B60A-C201A5F11C6F.png,0.0,1.67,
DEEADDA2-0FC2-422B-B738-F5D274549610,1,DEEADDA2-0FC2-422B-B738-F5D274549610.png,0.9519151682933709,1.74,
E6369A1B-AA37-4B67-AF76-3BC17E3A5885,2,E6369A1B-AA37-4B67-AF76-3BC17E3A5885.png,0.0,1.93,
ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047,3,ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047.png,1.7864984515092454e-05,1.77,
F9A7310C-0DDD-469E-B34D-C270A186070F,4,F9A7310C-0DDD-469E-B34D-C270A186070F.png,0.10034268401116325,1.66,
FA067403-6115-4489-9ED0-2CF26FC2D299,0,FA067403-6115-4489-9ED0-2CF26FC2D299.png,0.09456152022267758,1.71,
FDBC0FDC-D090-4778-A123-232EB71DF3C6,0,FDBC0FDC-D090-4778-A123-232EB71DF3C6.png,0.0,1.73,
POLA4_AREA,1,POLA4_AREA.png,0.1998688032907142,1.71,
REG_4:36880,2,REG_4_36880.png,0.27504334743205716,1.67,
SSA401,3,SSA401.png,0.0,2.03,
SSA402,4,SSA402.png,0.9759919238770498,1.97,
SSA403,0,SSA403.png,0.0,1.7,
SSA404,1,SSA404.png,0.02032466033131562,1.7,
SSA405,2,SSA405.png,0.0,1.76,
SSA407,3,SSA407.png,0.0019331640740788472,1.75,
SSA408,4,SSA408.png,3.5917056740868314e-06,1.93,
SSA409,0,SSA409.png,0.9346891210154169,1.98,
SSA410,1,SSA410.png,0.0,1.83,
SSA412,2,SSA412.png,0.016246114362202285,1.72,
SSA414,3,SSA414.png,0.040278786180425526,1.77,
SSA415,4,SSA415.png,0.6258359222789742,1.7,
SSA416,0,SSA416.png,0.03982387545339522,1.63,
